,Month,Day,Hour,electron,cool,heat
607,1,26,6,13623.25,95.61,1692.28
608,1,26,7,14089.83,97.96,1697.12
609,1,26,8,14372.82,97.64,1713.32
610,1,26,9,16035.95,99.79,1761.45
611,1,26,10,17431.27,101.55,1888.4
612,1,26,11,19575.5,99.92,1920.21
613,1,26,12,18282.49,98.85,1954.7
614,1,26,13,22488.86,100.32,1993.22
615,1,26,14,18348.94,100.15,2007.24
616,1,26,15,16581.15,101.13,2025.75
617,1,26,16,15646.46,99.37,2010.03
618,1,26,17,14447.66,97.17,2002.8
619,1,26,18,13985.3,95.63,1975.86
620,1,26,19,13750.53,95.43,1881.12
621,1,26,20,13318.81,94.51,1833.38
622,1,26,21,12883.4,92.92,1818.09
623,1,26,22,12605.57,89.67,1709.04
624,1,26,23,12244.12,86.3,1597.16
625,1,27,0,12379.35,85.97,1556.3
626,1,27,1,12283.34,85.87,1552.16
627,1,27,2,12365.75,86.09,1555.03
628,1,27,3,12284.76,86.07,1542.98
629,1,27,4,12378.32,88.66,1591.66
630,1,27,5,12981.7,93.47,1665.99
631,1,27,6,13693.81,98.3,1722.77
632,1,27,7,14275.76,100.47,1691.06
633,1,27,8,14880.52,99.61,1708.45
